"streetname";"place";"Type"
"Cantondreef";"Utrecht";"Road"
"Caracasdreef";"Utrecht";"Road"
"Carel Willinkstraat";"Utrecht";"Road"
"Carl Zellerhof";"Utrecht";"Road"
"Carmendreef";"Utrecht";"Road"
"Carnegiedreef";"Utrecht";"Road"
"Carolinen";"Utrecht";"Road"
"Carry van Bruggenstraat";"Utrecht";"Road"
"Cartesiusweg";"Utrecht";"Road"
"Castellumlaan";"De Meern";"Road"
"Castellumpark";"De Meern";"Road"
"Catalonië";"Utrecht";"Road"
"Catharijne Esplanade";"Utrecht";"Road"
"Catharijnebaan";"Utrecht";"Road"
"Catharijnekade";"Utrecht";"Road"
"Catharijnepassage";"Utrecht";"Road"
"Catharijneplateau";"Utrecht";"Road"
"Catharijnepoort";"Utrecht";"Road"
"Catharijnesingel";"Utrecht";"Road"
"Catharijnesteeg";"Utrecht";"Road"
"Catharijneviaduct";"Utrecht";"Art"
"Catharina van Renneslaan";"Utrecht";"Road"
"Catharinaplaatjes";"De Meern";"Road"
"Cauberg";"Utrecht";"Road"
"Cayennedreef";"Utrecht";"Road"
"Cederstraat";"Utrecht";"Road"
"Cees Buddinghlaan";"De Meern";"Road"
"Celebesstraat";"Utrecht";"Road"
"Celsius";"De Meern";"Road"
"Celsiuslaan";"Utrecht";"Road"
"Centaurusdreef";"Utrecht";"Road"
"Centrumboulevard";"Utrecht";"Road"
"Centrumlaan";"De Meern";"Road"
"Ceramstraat";"Utrecht";"Road"
"Cerialisplaats";"De Meern";"Road"
"Cervanteslaan";"Utrecht";"Road"
"César Domelahof";"Utrecht";"Road"
"Cevennen";"Utrecht";"Road"
"Ceylonlaan";"Utrecht";"Road"
"C.H. Letschertweg";"Utrecht";"Road"
"C.H. Letschertweg";"De Meern";"Road"
"Charley Tooropstraat";"Utrecht";"Road"
"Charlotte van Bourbondreef";"Utrecht";"Road"
"Charlotte van Pallandthof";"Utrecht";"Road"
"Chathams";"Utrecht";"Road"
"Ché Guevarastraat";"Utrecht";"Road"
"Cheopsdreef";"Utrecht";"Road"
"Chicagodreef";"Utrecht";"Road"
"Chico Mendesstraat";"Utrecht";"Road"
"Chilidreef";"Utrecht";"Road"
"Chinesetuinlaan";"Vleuten";"Road"
"Chiosdreef";"Utrecht";"Road"
"Chisinaustraat";"Utrecht";"Road"
"Choorstraat";"Utrecht";"Road"
"Chopinstraat";"Utrecht";"Road"
"Chris Barberpad";"Utrecht";"Road"
"Christiaan Krammlaan";"Utrecht";"Road"
"Christine Baderhaghe";"Utrecht";"Road"
"Christine Baderkade";"Utrecht";"Road"
"Chrysantstraat";"Utrecht";"Road"
"Churchilllaan";"Utrecht";"Road"
"Cicerolaan";"Utrecht";"Road"
"Citroenkruid";"De Meern";"Road"
"Citroenvlinder";"Utrecht";"Road"
"Clappsperenlaan";"Vleuten";"Road"
"Clara Egginkstraat";"Vleuten";"Road"
"Clarenburg";"Utrecht";"Road"
"Clarenburgplateau";"Utrecht";"Road"
"Clarenburgplein";"Utrecht";"Road"
"Claudiuslaan";"De Meern";"Road"
"Cleopatradreef";"Utrecht";"Road"
"Clingeboslaan";"Vleuten";"Road"
"Cliviapad";"Utrecht";"Road"
"Cobradreef";"Utrecht";"Road"
"Coelhorst";"Vleuten";"Road"
"Cohenlaan";"Utrecht";"Road"
"Coïmbrapad";"Utrecht";"Road"
"Cole Porterplantsoen";"Utrecht";"Road"
"Colignybrug";"Utrecht";"Art"
"Colombiadreef";"Utrecht";"Road"
"Coloradodreef";"Utrecht";"Road"
"Columbuslaan";"Utrecht";"Road"
"Comoren";"Utrecht";"Road"
"Componistenlaan";"Vleuten";"Road"
"Computerweg";"Utrecht";"Road"
"Concordiastraat";"Utrecht";"Road"
"Conferenceperenlaan";"Vleuten";"Road"
"Constant Erzeijstraat";"Utrecht";"Road"
"Cooklaan";"Utrecht";"Road"
"Coornhertstraat";"Utrecht";"Road"
"Cor Ruyslaan";"Utrecht";"Road"
"Cor Vlotlaan";"Utrecht";"Road"
"Corbulopad";"De Meern";"Road"
"Corneillelaan";"Utrecht";"Road"
"Cornelis Dirkszstraat";"Utrecht";"Road"
"Cornelis Drebbelstraat";"Utrecht";"Road"
"Cornelis Evertsenstraat";"Utrecht";"Road"
"Cornelis Houtmanstraat";"Utrecht";"Road"
"Cornelis Mertenssstraat";"Utrecht";"Road"
"Cornelis Roobolstraat";"Utrecht";"Road"
"Cornetstraat";"Utrecht";"Road"
"Cortezlaan";"Utrecht";"Road"
"Costa Ricadreef";"Utrecht";"Road"
"Count Basiestraat";"Utrecht";"Road"
"Couperusstraat";"Vleuten";"Road"
"Cremerdwarsstraat";"Utrecht";"Road"
